university,sex,age,address,motherEducation,fatherEducation,motherJob,fatherJob,reason,travelTime,studyTime,failures,universitySupport,paid,higher,internet,romantic,freeTime,goOut,Dalc,Walc,absences,finalGrade,grade_label
1,0,18,1,4,4,0,4,0,2,2,0,1,0,1,0,0,3,4,1,1,6,6,3
1,0,17,1,1,1,0,2,0,1,2,0,0,0,1,1,0,3,3,1,1,4,6,3
1,0,15,1,1,1,0,2,2,1,2,3,1,1,1,1,0,3,2,2,3,10,10,2
1,0,15,1,4,2,1,3,1,1,3,0,0,1,1,1,1,2,2,1,1,2,15,1
1,0,16,1,3,3,2,2,1,1,2,0,0,1,1,0,0,3,2,1,2,4,10,2
1,1,16,1,4,3,3,2,3,1,2,0,0,1,1,1,0,4,2,1,2,10,15,1
1,1,16,1,2,2,2,2,1,1,2,0,0,0,1,1,0,4,4,1,1,0,11,2
1,0,17,1,4,4,2,4,1,2,2,0,1,0,1,0,0,1,4,1,1,6,6,3
1,1,15,1,3,2,3,2,1,1,2,0,0,1,1,1,0,2,2,1,1,0,19,0
1,1,15,1,3,4,2,2,1,1,2,0,0,1,1,1,0,5,1,1,1,0,15,1
1,0,15,1,4,4,4,1,3,1,2,0,0,1,1,1,0,3,3,1,2,0,9,3
1,0,15,1,2,1,3,2,3,3,3,0,0,0,1,1,0,2,2,1,1,4,12,2
1,1,15,1,4,4,1,3,0,1,1,0,0,1,1,1,0,3,3,1,3,2,14,1
1,1,15,1,4,3,4,2,0,2,2,0,0,1,1,1,0,4,3,1,2,2,11,2
1,1,15,1,2,2,2,2,1,1,3,0,0,0,1,1,1,5,2,1,1,0,16,1
1,0,16,1,4,4,1,2,1,1,1,0,0,0,1,1,0,4,4,1,2,4,14,1
1,0,16,1,4,4,3,3,3,1,3,0,0,1,1,1,0,2,3,1,2,6,14,1
1,0,16,1,3,3,2,2,3,3,2,0,1,0,1,0,0,3,2,1,1,4,10,2
1,1,17,1,3,2,3,3,0,1,1,3,0,0,1,1,0,5,5,2,4,16,5,3
1,1,16,1,4,3,1,2,1,1,1,0,0,1,1,1,0,1,3,1,3,4,10,2
1,1,15,1,4,3,4,2,3,1,2,0,0,0,1,1,0,4,1,1,1,0,15,1
1,1,15,1,4,4,1,1,2,1,1,0,0,1,1,1,0,4,2,1,1,0,15,1
1,1,16,1,4,2,4,2,0,1,2,0,0,0,1,1,0,5,1,1,3,2,16,1
1,1,16,1,2,2,2,2,3,2,2,0,0,0,1,1,0,4,4,2,4,0,12,2
1,0,15,0,2,4,3,1,0,1,3,0,1,1,1,1,0,3,2,1,1,2,8,3
1,0,16,1,2,2,3,3,1,1,1,2,0,1,1,1,0,2,2,1,3,14,8,3
1,1,15,1,2,2,2,2,1,1,1,0,0,1,1,1,0,2,2,1,2,2,11,2
1,1,15,1,4,2,1,3,2,1,1,0,0,1,1,1,0,2,4,2,4,4,15,1
1,1,16,1,3,4,3,2,1,1,2,0,1,0,1,1,0,3,3,1,1,4,11,2
1,1,16,1,4,4,4,4,1,1,2,0,0,1,1,1,1,4,5,5,5,16,11,2
1,1,15,1,4,4,1,3,1,1,2,0,0,1,1,1,0,4,2,3,4,0,12,2
1,1,15,1,4,4,3,3,3,2,2,0,0,0,1,1,0,3,1,1,1,0,17,1
1,1,15,0,4,3,4,0,0,1,2,0,0,0,1,1,1,5,2,1,1,0,16,1
1,1,15,1,3,3,2,2,0,1,2,0,0,0,1,1,0,3,2,1,1,0,12,2
1,1,16,1,3,2,2,2,1,1,1,0,0,1,1,1,0,4,3,1,1,0,15,1
1,0,15,1,2,3,2,2,2,2,1,0,0,0,1,0,0,5,1,1,1,0,6,3
1,1,15,1,4,3,4,3,1,1,3,0,0,0,1,1,0,4,3,1,1,2,18,0
1,1,16,0,4,4,2,4,3,2,3,0,0,0,1,1,1,4,3,1,1,7,15,1
1,0,15,0,3,4,3,1,0,1,3,0,1,1,1,1,0,3,2,1,1,2,11,2
1,0,15,0,2,2,0,2,3,1,1,0,1,1,1,0,0,3,1,1,1,8,13,2
1,0,16,1,2,2,2,2,1,2,2,1,0,0,1,1,1,3,3,1,2,25,11,2
1,1,15,1,4,4,4,2,1,1,1,0,0,0,1,1,1,4,3,2,4,8,12,2
1,1,15,1,4,4,3,4,0,1,2,0,0,0,1,1,0,3,3,1,1,2,18,0
1,1,15,1,2,2,3,3,0,1,1,0,1,0,1,1,0,4,1,1,1,0,11,2
1,0,16,1,2,2,2,0,0,2,2,1,1,0,1,1,0,3,3,2,2,14,9,3
1,0,15,1,4,3,2,2,0,1,2,0,1,1,1,1,1,2,2,1,1,8,6,3
1,0,16,1,3,3,2,3,1,1,2,0,0,0,1,1,0,3,5,1,4,12,11,2
1,1,16,1,4,3,1,3,3,1,4,0,0,0,1,1,0,2,2,1,1,4,20,0
1,1,15,1,4,2,4,2,1,1,2,0,0,1,1,0,0,3,3,2,2,2,14,1
1,0,15,1,4,4,3,4,2,1,2,1,1,0,1,1,0,4,4,1,1,2,7,3
1,0,16,1,2,2,3,3,0,3,2,0,0,1,1,1,0,3,3,2,3,2,13,2
1,0,15,1,4,2,1,2,2,1,2,0,0,1,1,1,0,3,3,1,1,2,13,2
1,1,15,1,4,2,1,1,2,2,1,1,0,0,1,0,0,5,5,3,4,6,10,2
1,0,15,1,4,4,3,3,0,1,1,0,1,1,1,1,0,3,4,2,3,0,11,2
1,0,15,1,3,3,2,2,2,1,1,0,0,1,1,1,0,3,4,4,4,6,13,2
1,0,16,1,2,1,2,2,2,1,2,0,0,1,1,1,1,3,4,1,1,8,10,2
1,0,15,1,4,3,3,3,3,1,2,0,0,1,1,1,0,3,2,1,1,0,15,1
1,1,15,1,4,4,4,1,3,1,2,0,0,0,1,0,0,2,2,1,1,4,15,1
1,1,15,1,1,2,2,0,1,1,2,0,1,0,1,1,0,3,2,1,1,2,9,3
1,0,16,1,4,2,3,2,0,1,2,0,0,0,1,1,0,2,3,1,1,2,16,1
1,0,16,0,4,4,1,4,2,1,2,0,0,0,1,0,0,4,4,2,3,6,11,2
1,0,16,1,1,1,3,3,0,4,1,0,1,0,1,1,1,5,5,5,5,6,11,2
1,0,16,1,1,2,2,3,3,1,2,0,1,0,1,1,0,4,3,1,1,4,9,3
1,0,16,1,4,3,4,1,1,1,3,0,1,1,1,1,0,4,4,2,4,2,9,3
1,0,15,1,4,3,3,3,3,1,2,0,1,0,1,1,1,4,4,2,4,0,10,2
1,0,16,1,4,3,4,3,0,3,2,0,0,0,1,1,0,4,3,1,2,2,15,1
1,1,15,1,4,4,2,3,3,1,4,0,0,0,1,1,1,3,3,5,5,4,12,2
1,0,16,1,3,1,3,2,0,1,4,0,1,1,1,1,0,3,3,1,2,4,6,3
1,0,15,0,2,2,1,3,3,2,2,0,1,1,1,1,0,1,3,1,3,2,8,3
1,0,15,0,3,1,2,2,3,2,4,0,0,0,1,1,0,4,2,2,3,12,16,1
1,1,16,1,3,1,2,2,3,2,4,0,0,1,1,1,0,3,2,1,1,0,15,1
1,1,15,1,4,2,2,2,0,1,4,0,0,0,1,1,0,3,3,1,1,0,10,2
1,0,15,0,1,1,2,2,3,1,2,2,1,0,1,1,1,3,4,2,4,2,5,3
1,1,16,1,3,1,2,2,3,1,1,0,0,0,1,0,0,3,2,2,2,2,14,1
1,0,16,1,3,3,2,3,1,1,2,0,1,1,1,1,0,3,3,2,4,54,11,2
1,1,15,1,4,3,4,2,1,1,2,0,0,1,1,1,0,3,3,2,3,6,10,2
1,1,15,1,4,0,4,2,0,2,4,0,0,0,1,1,0,4,3,1,1,8,10,2
1,0,16,1,2,2,2,2,3,1,4,0,0,1,1,1,1,2,3,1,3,0,11,2
1,1,17,1,2,1,2,2,1,2,1,3,1,0,0,1,0,5,1,1,1,2,10,2
1,0,16,1,3,4,0,2,0,1,2,0,0,0,1,1,0,4,3,1,2,12,5,3
1,1,15,1,2,3,2,3,0,1,1,0,1,1,1,1,1,2,2,1,3,2,12,2
1,1,15,1,2,3,2,2,1,1,3,0,1,1,1,1,0,3,2,1,2,4,11,2
1,0,15,1,3,2,3,2,3,1,2,0,0,1,1,1,0,4,4,1,1,10,6,3
1,1,15,1,2,2,3,3,1,2,2,0,0,1,1,1,0,3,3,1,3,4,15,1
1,0,15,1,1,1,2,2,1,1,2,0,0,0,1,1,0,3,2,2,3,2,10,2
1,0,15,1,4,4,3,3,3,2,2,2,0,1,1,1,1,4,4,2,3,6,8,3
1,0,16,1,2,2,0,2,0,1,2,0,0,0,1,0,0,3,4,1,2,4,6,3
1,0,15,1,4,2,2,2,3,1,3,0,0,0,1,1,0,3,3,1,3,4,14,1
1,1,16,1,2,2,3,2,3,2,2,1,0,1,1,1,0,4,2,1,1,12,10,2
1,1,16,1,4,4,4,1,3,1,2,0,0,0,1,0,0,1,3,3,5,18,7,3
1,0,16,1,3,3,2,2,1,1,3,0,0,1,1,1,1,3,3,1,3,0,8,3
1,0,15,1,4,3,3,2,3,1,1,0,0,1,1,1,0,5,5,1,3,4,18,0
1,0,16,1,3,1,2,2,1,1,2,0,1,0,1,0,0,3,3,2,3,4,6,3
1,0,16,1,4,2,4,3,1,2,2,0,0,1,1,1,0,3,3,1,1,0,10,2
1,1,15,1,2,2,3,1,3,1,4,0,0,0,1,1,0,3,4,1,1,6,14,1
1,0,15,0,1,1,0,2,1,2,4,1,1,1,1,1,0,1,2,1,1,2,10,2
1,1,16,0,4,3,3,2,3,2,1,0,1,0,1,1,0,3,3,1,1,2,15,1
1,0,16,1,2,1,2,2,0,1,2,0,0,1,1,0,1,3,5,1,1,2,10,2
1,0,16,1,4,4,2,2,3,1,1,0,0,0,1,1,0,3,4,1,2,6,14,1
1,0,16,1,4,3,2,0,0,1,3,0,1,1,1,1,0,3,5,1,1,0,8,3
1,1,16,1,4,4,3,3,2,1,1,0,1,1,1,1,0,5,5,5,5,14,5,3
1,1,16,1,4,4,3,4,2,1,3,0,0,0,1,1,1,4,3,1,1,0,17,1
1,1,15,1,4,4,3,2,0,1,1,0,0,0,1,1,0,3,3,1,1,4,14,1
1,0,15,1,3,2,3,2,1,2,2,0,1,1,1,1,0,3,5,1,1,26,6,3
1,1,15,1,3,4,3,2,0,1,2,0,0,1,1,1,0,4,4,1,1,0,18,0
1,0,15,1,3,3,2,1,3,1,4,0,1,0,1,0,0,3,3,1,1,10,11,2
1,0,15,1,2,2,2,2,0,1,4,0,1,1,1,1,0,1,2,1,1,8,8,3
1,1,16,1,3,3,3,2,1,1,3,0,0,0,1,1,0,3,3,1,1,2,18,0
1,1,15,0,4,4,2,2,1,4,4,0,0,1,1,1,1,3,5,3,5,6,13,2
1,0,16,1,4,4,1,1,2,1,3,0,0,1,1,1,1,4,5,1,1,4,16,1
1,1,15,1,4,4,4,4,0,1,1,0,0,0,1,1,0,5,3,1,1,6,19,0
1,0,16,0,3,3,3,2,3,1,3,1,1,0,1,1,0,1,2,1,1,0,10,2
1,0,16,1,2,2,0,2,1,1,2,1,1,0,1,1,0,1,2,1,1,6,13,2
1,1,15,1,4,2,4,2,0,1,1,0,0,0,1,1,0,5,2,1,1,10,19,0
1,1,15,0,2,1,1,3,3,1,2,0,0,0,1,1,1,4,2,1,1,8,9,3
1,1,16,1,4,4,4,4,0,1,2,0,0,0,1,1,0,4,4,1,2,2,16,1
1,1,15,1,4,4,2,4,3,2,2,0,0,0,1,0,0,4,3,1,1,2,14,1
1,1,16,1,3,3,2,3,1,2,1,0,0,0,1,1,0,4,2,1,1,0,13,2
1,1,17,0,1,3,2,2,0,3,2,1,0,0,1,1,0,2,4,1,4,20,8,3
1,1,15,1,3,4,2,2,3,1,1,0,0,0,1,1,0,4,3,1,2,6,13,2
1,0,15,1,1,2,0,3,0,1,2,0,0,0,1,1,0,2,3,1,2,2,15,1
1,1,15,1,2,2,3,3,1,1,4,0,0,1,1,1,0,5,4,1,2,6,15,1
1,0,16,1,2,4,2,1,0,2,2,0,0,1,1,1,1,2,2,1,2,2,13,2
1,1,16,1,4,4,1,2,0,1,1,0,0,0,1,1,0,4,4,1,4,18,13,2
1,0,16,1,2,2,2,2,1,1,2,0,0,1,1,1,1,4,4,1,1,0,8,3
1,1,15,1,3,4,3,3,1,1,1,0,1,0,1,1,0,5,5,3,2,0,12,2
1,0,15,1,3,4,2,2,1,1,2,0,1,0,1,1,1,3,2,1,1,0,11,2
1,0,19,1,0,1,0,2,0,1,2,3,0,0,0,0,0,4,2,1,1,2,9,3
1,1,18,0,2,2,3,2,3,1,1,2,0,0,1,1,0,3,3,1,2,0,0,3
1,1,16,0,4,4,4,4,0,1,1,0,0,1,1,1,0,5,5,2,5,8,18,0
1,0,15,0,3,4,3,4,0,2,3,2,0,0,1,1,1,2,2,2,2,0,0,3
1,0,15,1,1,1,0,2,0,3,1,0,0,0,1,1,1,3,3,1,2,0,0,3
1,0,17,1,2,2,2,2,0,1,1,0,0,0,1,1,1,4,4,1,3,12,12,2
1,0,16,1,3,4,3,2,0,1,1,0,0,0,1,1,0,2,1,1,4,16,11,2
1,1,15,0,3,4,0,4,0,4,2,0,0,0,1,0,1,3,3,1,1,0,0,3
1,0,15,1,4,4,3,0,0,1,3,0,0,0,1,1,1,3,3,1,1,0,0,3
1,1,17,0,3,4,0,2,0,3,2,0,0,0,1,0,0,4,5,2,4,0,0,3
1,0,16,1,3,3,2,2,0,2,1,2,0,0,1,1,1,3,2,1,1,0,0,3
1,1,16,1,1,1,3,2,0,1,2,1,0,0,1,0,1,4,4,1,3,0,12,2
1,0,15,1,4,4,4,4,0,2,1,0,0,0,1,1,0,3,2,1,1,0,15,1
1,1,15,1,4,3,4,3,0,2,4,0,1,0,1,1,0,2,2,1,1,0,0,3
1,1,16,1,2,2,3,3,3,2,1,2,0,0,1,1,0,3,3,2,2,8,9,3
1,0,15,1,4,4,4,3,0,1,3,0,0,1,1,1,0,2,2,1,1,2,11,2
1,0,16,1,1,1,0,0,0,1,1,0,0,0,1,1,0,4,4,3,3,2,13,2
1,1,17,1,2,1,2,2,1,1,1,3,0,0,1,1,0,4,5,1,2,0,0,3
1,0,15,1,1,1,2,3,0,1,2,0,0,1,1,1,0,4,2,1,2,0,11,2
1,0,15,1,3,2,1,3,1,1,2,3,0,0,1,1,0,3,2,1,1,0,0,3
1,0,15,1,1,2,0,2,0,1,2,0,0,1,1,1,0,3,2,1,1,2,11,2
1,1,16,1,4,4,4,4,0,1,1,0,0,0,0,1,1,3,2,2,1,0,0,3
1,1,15,1,2,1,3,2,0,4,1,3,0,0,1,1,0,5,5,2,5,0,10,2
1,1,18,1,1,1,2,2,0,1,1,3,0,0,0,1,1,3,5,2,5,0,0,3
1,1,16,1,2,1,0,2,0,1,1,1,0,0,1,0,1,4,4,3,5,6,14,1
1,0,15,0,3,3,3,3,3,2,3,2,0,1,1,1,1,2,1,2,3,8,10,2
1,1,19,1,3,2,3,0,1,1,1,3,0,0,0,1,1,5,4,1,1,0,0,3
1,0,17,1,4,4,2,4,0,1,1,0,1,0,1,0,1,2,1,1,1,0,12,2
1,1,15,0,2,3,0,3,0,1,2,0,1,1,1,0,0,4,4,1,1,2,8,3
1,1,17,0,1,2,2,2,3,1,1,0,0,0,1,0,0,2,2,3,3,8,13,2
1,0,18,0,1,1,0,2,0,3,1,3,0,0,1,0,0,2,5,1,5,6,10,2
1,1,16,0,2,2,0,2,0,3,1,0,0,0,1,0,0,2,2,1,2,2,15,1
1,1,16,1,3,3,2,3,0,1,2,1,0,1,1,1,1,5,5,4,4,4,12,2
1,1,17,0,2,1,0,2,0,2,1,2,0,0,0,1,1,3,2,2,2,0,0,3
1,1,15,0,3,2,2,2,0,2,2,2,1,0,1,1,1,4,4,1,4,6,7,3
1,1,16,1,1,2,2,2,0,2,1,1,0,0,1,0,0,4,4,2,4,0,0,3
1,1,17,1,1,3,0,3,0,1,1,0,0,0,0,1,0,3,3,1,4,2,10,2
1,1,17,0,1,1,2,3,0,4,2,3,0,0,0,0,1,3,5,1,5,0,7,3
1,1,16,1,3,2,3,3,0,2,1,1,0,0,0,0,0,5,2,1,1,16,12,2
1,1,16,1,2,2,2,2,0,1,2,0,0,0,0,1,0,3,5,2,4,4,10,2
1,0,16,1,4,2,1,3,1,1,2,0,0,1,1,1,1,2,3,1,1,0,16,1
1,0,16,1,2,2,2,2,1,1,2,0,0,1,1,1,0,1,5,1,1,0,0,3
1,0,16,1,4,4,1,1,3,1,2,0,0,1,1,1,1,4,2,1,1,0,14,1
1,1,16,1,3,4,2,2,0,3,1,2,0,0,1,1,0,4,5,2,4,0,0,3
1,1,16,1,1,0,2,2,3,2,2,0,0,1,1,1,1,3,2,1,1,2,16,1
1,1,17,1,4,4,4,2,3,1,2,0,0,1,1,1,0,4,4,1,3,0,10,2
1,0,16,1,1,3,0,3,1,1,2,3,0,0,1,1,1,3,5,1,1,0,0,3
1,0,16,1,3,3,2,2,3,2,2,0,0,1,1,1,0,4,5,1,1,4,9,3
1,1,17,1,4,3,4,2,0,2,2,0,0,1,1,1,0,4,4,4,4,4,9,3
1,0,16,1,2,2,3,2,3,2,2,0,0,1,1,1,0,4,4,1,4,2,11,2
1,1,17,1,3,3,2,2,3,1,2,0,0,0,1,1,0,3,4,1,4,4,6,3
1,1,16,0,4,2,4,3,2,1,1,0,0,0,1,1,1,3,3,3,4,10,9,3
1,1,17,1,4,3,2,2,0,1,2,0,0,0,1,1,1,2,3,1,1,4,11,2
1,1,16,1,4,3,4,2,1,1,2,0,0,1,1,1,0,4,3,2,3,10,8,3
1,1,16,1,3,3,3,2,1,1,2,0,0,1,1,1,1,2,3,1,2,2,12,2
1,0,17,1,2,4,3,3,3,1,2,0,0,0,1,0,0,4,2,2,3,0,17,1
1,0,17,1,3,3,2,2,3,1,2,0,0,0,1,1,1,3,3,2,3,56,8,3
1,0,16,1,3,2,2,2,3,1,2,0,0,1,1,1,0,2,2,1,2,14,12,2
1,1,17,1,3,3,3,3,2,1,2,0,0,0,1,1,1,3,4,2,3,12,11,2
1,1,16,1,1,2,3,3,2,1,1,0,0,1,1,1,1,3,3,1,2,2,11,2
1,1,16,1,2,1,2,2,0,1,2,0,0,1,1,1,1,2,3,1,2,0,15,1
1,0,17,1,3,3,1,2,3,1,2,0,0,0,1,1,1,3,3,1,3,6,9,3
1,1,17,0,1,2,0,2,1,1,2,0,0,0,1,0,0,1,3,1,5,4,10,2
1,0,16,1,2,3,3,3,0,1,2,0,0,0,1,1,0,3,3,1,1,10,13,2
1,0,17,1,1,1,0,3,0,1,2,0,0,0,1,1,0,3,3,1,1,0,9,3
1,1,17,1,1,2,0,3,2,2,2,0,0,1,1,1,0,4,4,4,5,12,8,3
1,1,16,0,3,3,3,3,3,1,1,0,0,0,1,1,0,3,2,3,4,8,10,2
1,1,16,1,2,3,2,2,1,2,1,0,0,0,1,1,0,3,3,1,1,0,14,1
1,0,17,1,2,4,3,3,0,1,2,0,0,0,1,1,1,3,2,1,1,0,15,1
